hotels,names,titles,star_ratting,location,date,comments,replies
華泰王子大飯店Gloria Prince Hotel,olgakesia21,非常好,5,印尼萬隆,,地理位置優越，有很多便利店，在雙聯捷運站附近，房間很好，熱水正常，WiFi良好，員工非常友好。我一定會再來的。更多,"Dear olgakesia21,

Thank you for choosing GLORIA PRINCE HOTEL Taipei, it have been our greatest honor to know that you...更多"
華泰王子大飯店Gloria Prince Hotel,Connector810056,朋友結婚聚餐,5,,2018年6月,朋友結婚聚餐，這裡的氣氛很好，很適合求婚。餐點及餐廳，服務人員也很棒，朋友都很喜歡，蛋糕很好吃，下次有機會還會跟朋友去吃。,"Dear 益盛王,

感謝您滿意我們的餐點及服務，期待您下次的光臨，謝謝。"
華泰王子大飯店Gloria Prince Hotel,ChinaTraveller08,美好的假期,4,Kuala Lumpur,,在這些非常樂於助人的員工的幫助下，我們度過了一段舒適美好的假期。酒店附近有許多可以購物和吃飯的地方。而地鐵離酒店只有7分鐘的路程。酒店還提供豐盛的早餐。更多,"Dear ChinaTraveller08,

Warmest greetings and appreciation on your affirmation on Gloria Prince Hotel Taipei. Providing excellent experience is what we...更多"
國王大飯店Emperor Hotel,HsiaoYunChan,老舊但地點好,4,台灣台北,2018年8月,雖然老舊可以看見歷史的痕跡，但地點很好，附近有捷運和公車站，非常方便。如果只是來睡覺過夜，白天出去玩的話可考慮。,
國王大飯店Emperor Hotel,loveworld720507,太吵了吧,1,台灣花蓮,2018年9月,人員態度都還可以！只是飯店真的太老舊，晚上回飯店後，櫃檯人員告知我們小孩子盡量要小聲因為很晚了，小孩子都太累了根本不可能有時間可以玩結果半夜12點多快一點的時候跳起來，因為飯店的水管聲，有人洗澡開水就會很大聲超級大聲嚇到小孩了，真的快暈倒因為完全沒停止過怎麼可能每個人都會很早先洗澡，這樣根本就沒有睡眠的品質，所以這種價錢叫我再來...更多,
國王大飯店Emperor Hotel,Jenny_TDE,足見歷史痕跡的飯店,4,,2016年9月,交通便捷近捷運站及公車站。相較於當代時尚的設計旅店，國王飯店設備已屬老舊，但以懷舊的心情看待卻處處古意，令人懷念。厚重的房間鑰匙是古代錢幣的造型，必須放置房內牆上的插槽才能開啟房間電源，家具樣式充滿舊時代的軌跡，浴缸高度較矮，一時之間讓人有些不習慣。而房內的液晶電視及廁所的免治馬桶應該是因應現代而改裝的。住宿期間除了水管管線的沖...更多,
國王大飯店Emperor Hotel,Gigi Y,職員很好，硬件一般的酒店,3,香港,2016年8月,"位於松江南京站及中山站中間，周邊的美食尤其是日本料理店很多，坐公車的路線很多，位置其實很好
職員很友善，但酒店太舊，出入也要放下鎖鑰，如果再選擇，未必會再入住",
國王大飯店Emperor Hotel,Mihaly56,中心區一個不錯的酒店,4,匈牙利布達佩斯,,我來過台灣3次，這是我入住的第一個酒店——所以在我心裏佔據了特別的位置。這是個簡單的酒店，但房間和服務都挺不錯。我喜歡這裏提供的美食。,
國王大飯店Emperor Hotel,HsiaoYunChan,老舊但地點好,4,台灣台北,2018年8月,雖然老舊可以看見歷史的痕跡，但地點很好，附近有捷運和公車站，非常方便。如果只是來睡覺過夜，白天出去玩的話可考慮。,
國王大飯店Emperor Hotel,loveworld720507,太吵了吧,1,台灣花蓮,2018年9月,人員態度都還可以！只是飯店真的太老舊，晚上回飯店後，櫃檯人員告知我們小孩子盡量要小聲因為很晚了，小孩子都太累了根本不可能有時間可以玩結果半夜12點多快一點的時候跳起來，因為飯店的水管聲，有人洗澡開水就會很大聲超級大聲嚇到小孩了，真的快暈倒因為完全沒停止過怎麼可能每個人都會很早先洗澡，這樣根本就沒有睡眠的品質，所以這種價錢叫我再來...更多,
國王大飯店Emperor Hotel,Jenny_TDE,足見歷史痕跡的飯店,4,,2016年9月,交通便捷近捷運站及公車站。相較於當代時尚的設計旅店，國王飯店設備已屬老舊，但以懷舊的心情看待卻處處古意，令人懷念。厚重的房間鑰匙是古代錢幣的造型，必須放置房內牆上的插槽才能開啟房間電源，家具樣式充滿舊時代的軌跡，浴缸高度較矮，一時之間讓人有些不習慣。而房內的液晶電視及廁所的免治馬桶應該是因應現代而改裝的。住宿期間除了水管管線的沖...更多,
國王大飯店Emperor Hotel,Gigi Y,職員很好，硬件一般的酒店,3,香港,2016年8月,"位於松江南京站及中山站中間，周邊的美食尤其是日本料理店很多，坐公車的路線很多，位置其實很好
職員很友善，但酒店太舊，出入也要放下鎖鑰，如果再選擇，未必會再入住",
國王大飯店Emperor Hotel,Mihaly56,中心區一個不錯的酒店,4,匈牙利布達佩斯,,我來過台灣3次，這是我入住的第一個酒店——所以在我心裏佔據了特別的位置。這是個簡單的酒店，但房間和服務都挺不錯。我喜歡這裏提供的美食。,
國王大飯店Emperor Hotel,Yvonne Y,衛生環境不佳,2,,2015年8月,飯店很舊，整間房間及廁所有一陣陣霉味，房間空氣不太流通，竟然有蚊子及蟑螂，我看到的有3隻蟑螂！！！真的不能接受！,
國王大飯店Emperor Hotel,callyuan,日本人不少的國王,5,台灣台中,2015年4月,"飯店外觀有點舊，房間整潔度適中，免治馬桶讓我很驚奇，可能是因為都服務日本人的關係？幾乎服務人員都會日語。

地點離公車站算近，捷運站也不是太遠，附近也很繁華，相當便利！
飯店的無線網路是要跟櫃台要，但連線速度普通，最後都還是用行動網路…

床鋪軟硬適中挺好睡，附的早餐菜色沒有很多，但足以飽足肚子的需求，真的蠻多日本人的，吃個早餐...更多",
國王大飯店Emperor Hotel,一位來自中國的 TripAdvisor 會員,一個7旬老人對飯店很好的感覺,4,,,"11-14日住了3晚,是由廣東中旅安排的.
飯店設備即使按大陸內地標準看也比較陳舊,但很乾凈,對於一個旅途中的人說來也足夠了.早餐比較豐富,口味對我這個70歲的老人都感覺還不錯.尤其是飯店的服務人員非常友善.雖然這次去台灣自由行幾乎是臨時起意的,開始對這次旅行並沒有太多的期望.但由於店裡工作人員的服務態度感覺再次去台灣休閒遊玩是...更多",
國王大飯店Emperor Hotel,一位來自中國的 TripAdvisor 會員,早餐好棒,5,,,非常棒的體驗，特別是早餐，特別美味，再來台北我還想住在這裏。服務人員都特別友善，很有人情味，後來住的其他酒店就沒那麼好了。,
國王大飯店Emperor Hotel,RenukaSuk,乾淨美好的氛圍,4,新加坡新加坡,,乾淨美好的氛圍，還有棒棒的員工。我們在12月份的時候去這裏住，他們給我們在室內裝了一個嵌在牆裡的加熱器。物有所值。位置很方便。 我跟朋友們在這裏玩得很開心。,
國王大飯店Emperor Hotel,pngpcy,有點舊但是方便的位置,3,新加坡新加坡,,鄰近中山捷運站因此使它成為一個很好的起點，探索台北。酒店看起來老，但其清潔。沒有什麼太多的速率或誇大其詞的。酒店的工作人員都非常友好，他們說日語流利。有附近的一個極好的面檔，我在那裡吃了兩次！,
國王大飯店Emperor Hotel,Yokogucc,"位置棒,價格合理!",5,Hawaii,,"這是我第一次來台北出差,不知道在哪兒住,我有一個日本朋友來過台北幾次,他建議我住在國王大飯店。我是一個美籍日裔,來這裏以後發現酒店的員工,尤其是在前台工作的員工能說一口流利的日語。他們很耐心的告訴我方向,教我怎麼去各個景點,以及到哪兒以後要注意什麼等等。早餐是自助餐,種類很豐富,提供很多日式料理。

酒店在台北市中心,離最近的捷...更多",
國王大飯店Emperor Hotel,Extraordinary803041,便宜,3,大阪,,"如果只是睡覺的話,這裏很便宜。雖然離地鐵站有些遠,但是還是能走過去的。去地鐵站的反方向有個超市。",
國王大飯店Emperor Hotel,yamakaz6,還不錯,3,名古屋,,"我在飯店住了三個晚上。
員工服務很周到,讓人安心。
而且飯店附近有便利店和麥當勞。
客房也乾淨,挺不錯的。",
國王大飯店Emperor Hotel,Storyteller803063,如家一般,4,日本東京,,"飯店屬於商務酒店一類,不過前台員工會說日語,問什麼都會親切地回答,讓人感覺如家一般。
因為這裏日本住客很多,所以雖然我是第一次入住,但也很安心,因為這裏點評很好。
吃的東西說不上豪華,但因為價格便宜,所以這樣的種類也算豐富了。而且還有日餐。
來和走的時候因為帶着行李箱,所以我都是打的。但是入住期間我也走路到附近看看,還是很方便的...更多",
國王大飯店Emperor Hotel,tsuchan1,"相當普通的標準,一位好的前台員工挽救了它",3,UK,,"好的方面是,前台從你到那兒的時候就很熱情很有幫助。房間里有(有線網絡)網絡連接,熱水真的一直都熱,空調運作的儘管沒那麼棒但也算起作用了。

然而,第一個讓我失望的是房間的裝修和浴室還算足夠,但沒別的了,如果你期待3星級酒店的水平,這裏可能是達不到的。第二點讓我失望的是早餐,他們有三個一線服務員,而且客人非常少(至少我在餐廳的時候...更多",
國王大飯店Emperor Hotel,tsuyoshi250,夜生活也很豐富。,3,横浜,,"前台工作人員很親切,日語也很好,告訴了我很多周圍的情報。酒店周邊店鋪很多,我一不小心還喝多了呢。周邊還有很多小吃攤,便宜又好吃,大家可以嘗試一下。這家酒店很不錯哦。",
國王大飯店Emperor Hotel,Trail803040,下次也住這裏,4,兵庫,,"就像其他人說的那樣,這家酒店的設備很舊,不過員工都很友善。我住了三天,非常開心。
唯一不好的就是:
一進房間我就聞到了一股臭味。這家酒店是經濟型酒店,我去之前並沒有期待什麼,可這股臭味實在是讓人難以忍受,我就立刻跟前台反映了這個問題。
結果他們立刻派人去房間里看了看,發現是浴簾的味道。他們立刻就幫我換了浴簾,解決了問題。之後四天...更多",
國王大飯店Emperor Hotel,Camper803355,非常親切,4,大阪,,"飯店員工親切,幫了我許多忙。第三天我讓他們幫忙預訂圓山大飯店的金龍廳的午飯,結果訂到了窗邊的好位子。而且我多次讓他們幫忙保管貴重物品,他們也沒有一絲不快,又會替我叫出租車。但是飯店感覺還是很親民的。而且位置又好,坐地鐵出門很方便。",
國王大飯店Emperor Hotel,Mobile802985,住起來很舒適,4,東京,,"我和5歲的女兒去旅行的時候,入住在這家酒店。
這裏的前台員工都很精通日語,而且把我女兒放在心上,經常親切的和我們說話。外出的時候,回酒店的時候,女兒都很喜歡去前台拿鑰匙。
這裏的早餐很普通。不過,每天的種類都有點不一樣。女兒最喜歡的是這裏的菠蘿。
這家酒店前面有個大公園,裏面有體育設備,我們總是一大早就去公園玩。
酒店附近有頂好...更多",
豪景大酒店Hotel Riverview Taipei,KEitaPL1811,還不錯的酒店，環境衛生舒適,5,,2019年1月,"這是一間還不錯的酒店，環境很衛生也很舒適,早餐種類也是很多的，有專車接送到西門捷運站，也可以到機場捷運台北車站，整體很方便",
豪景大酒店Hotel Riverview Taipei,Alvin K,很不錯的酒店，走路就能到西門町,4,,,房間很乾凈，工作人員服務很棒，從酒店走路7分鐘就能到西門町。酒店周圍有很多不錯的吃早飯的地方，一家最古老的咖啡館就在酒店附近。這裏安保很好，需要卡才能到酒店大廳。,
豪景大酒店Hotel Riverview Taipei,ayan_why,大間又超舒服的酒店,4,香港,2018年7月,離西門町站略遠，而且位置有點僻靜，如只有女仔同行，就不太適合。酒店有分新館和舊館，checkin的counter是舊館。舊館有40年歷史，裝潢很舊，但酒店職員帶我們穿過一條小路後，就來到新館，與舊館有強烈對比。房間和浴室都超大，還可以看到海景。,
豪景大酒店Hotel Riverview Taipei,XanderA22,毫無任何客戶服務可言,1,,,這家酒店根本就不存在什麼客戶服務。我即將要入住這裏，所以過去幾天我一直嘗試聯繫酒店，告訴他們我的住宿要求，結果沒有任何回復。真是太糟糕了。不推薦入住這裏，直到他們行動起來（改善客戶服務，我才有可能改變態度）,
豪景大酒店Hotel Riverview Taipei,Mon H,很好很舒適的住宿,5,,2018年4月,入住双單人床房，太好了，房大，舒適，新穎，33平方。早餐的地方有繯迴的遠境，很漂亮，食物也足夠，好味道。來台北定來這裡，就是要步行15分鐘由西門町站，比較遠，其它所有都好,
豪景大酒店Hotel Riverview Taipei,14kwing,奇怪的酒店經歷,2,,2017年6月,"新館 本館等於同一座大廈 不同升降機上
本館到新館需要經過兩玻璃門要房卡感應才開門、 新館的兩部升降機均不需要房卡感應.

不要給酒店古老舊外表嚇壞 新館的設計是相反
住的是三人房 
250X 房間直對一升降機
床OK寬但不夠長
插座足夠多 還有USB插 👍
步行往來西門地鐵站大約8分鐘 （視乎步速等燈）
有提供接駁車 半個鐘...更多",
豪景大酒店Hotel Riverview Taipei,britt_jkim,好而乾淨的酒店。適合家庭。,4,,,我和我的家人去了這家酒店，房間里有兩張雙人床。床對於兩個成年人都足夠大。乾淨的房間，沒有那麼大但不那麼小。四個人可以適應。淋浴房是乾淨的。（我很喜歡乾淨）位置很好，步行10-15分鐘到車站，看你走得多快。你也可以找到勞森附近，步行5分鐘，但是最好的不是一個人去，因為在夜晚走路很黑暗。工作人員很好，但他們不會說英語。,
豪景大酒店Hotel Riverview Taipei,6680christyc,遠,3,香港,2017年5月,如果一日之內會經常喺酒店出出入入嘅強烈建議就唔好住啲到啦因為呢西門町捷運站都經人遠路程如果行完街攞住啲嘢返酒店都幾辛苦！,
豪景大酒店Hotel Riverview Taipei,887amandaa,良好的地段和房間,5,,,好的，這裏不像是西門町的中部，而更像是在一個繁華的購物區的外部而我恰恰好喜歡這裏。這裏距離火車站近到大概只要10分鐘的步行時間並且不會出汗，同時距離又足夠遠，很安靜不會被火車站的喧鬧所吵到。這個區域通往酒店的路上有兩家便利店，所以不用擔心沒有吃喝的東西！我們定了一個三人間，這個房間比預期的還要大！房間清潔的很好，洗浴用品全部都是...更多,
豪景大酒店Hotel Riverview Taipei,Trail808195,靠近西門町的好住宿,3,,2017年4月,飯店靠近西門町，所以晚上的話可以選擇去西門町逛逛，飯店有接駁車可以到達，不過要先跟飯店預定，不然自己走路到西門町也是可以，約大概10幾分吧。如果有開車的朋友，他們有專人代客停車 。飯店的設備都還OK,
豪景大酒店Hotel Riverview Taipei,14kwing,奇怪的酒店經歷,2,,2017年6月,"新館 本館等於同一座大廈 不同升降機上
本館到新館需要經過兩玻璃門要房卡感應才開門、 新館的兩部升降機均不需要房卡感應.

不要給酒店古老舊外表嚇壞 新館的設計是相反
住的是三人房 
250X 房間直對一升降機
床OK寬但不夠長
插座足夠多 還有USB插 👍
步行往來西門地鐵站大約8分鐘 （視乎步速等燈）
有提供接駁車 半個鐘...更多",
豪景大酒店Hotel Riverview Taipei,britt_jkim,好而乾淨的酒店。適合家庭。,4,,,我和我的家人去了這家酒店，房間里有兩張雙人床。床對於兩個成年人都足夠大。乾淨的房間，沒有那麼大但不那麼小。四個人可以適應。淋浴房是乾淨的。（我很喜歡乾淨）位置很好，步行10-15分鐘到車站，看你走得多快。你也可以找到勞森附近，步行5分鐘，但是最好的不是一個人去，因為在夜晚走路很黑暗。工作人員很好，但他們不會說英語。,
豪景大酒店Hotel Riverview Taipei,6680christyc,遠,3,香港,2017年5月,如果一日之內會經常喺酒店出出入入嘅強烈建議就唔好住啲到啦因為呢西門町捷運站都經人遠路程如果行完街攞住啲嘢返酒店都幾辛苦！,
豪景大酒店Hotel Riverview Taipei,887amandaa,良好的地段和房間,5,,,好的，這裏不像是西門町的中部，而更像是在一個繁華的購物區的外部而我恰恰好喜歡這裏。這裏距離火車站近到大概只要10分鐘的步行時間並且不會出汗，同時距離又足夠遠，很安靜不會被火車站的喧鬧所吵到。這個區域通往酒店的路上有兩家便利店，所以不用擔心沒有吃喝的東西！我們定了一個三人間，這個房間比預期的還要大！房間清潔的很好，洗浴用品全部都是...更多,
豪景大酒店Hotel Riverview Taipei,Trail808195,靠近西門町的好住宿,3,,2017年4月,飯店靠近西門町，所以晚上的話可以選擇去西門町逛逛，飯店有接駁車可以到達，不過要先跟飯店預定，不然自己走路到西門町也是可以，約大概10幾分吧。如果有開車的朋友，他們有專人代客停車 。飯店的設備都還OK,
豪景大酒店Hotel Riverview Taipei,Irislun,精緻的三人房間,4,香港,2017年4月,"在台北要找三張床的房間選擇不多, 最後選了位於西門町的豪景大飯店新館, 房間夠大也有足夠空間, 裝修也是精緻路線, 但乘的士抵達時被酒店殘舊的外表嚇到, 心想這真的是我預定的房間嗎, check in counter 及大堂保留著九十年代的舊裝修, 當check in完後由酒店職員帶我們到新館那邊, 彷如另一間酒店, 記得一定一...更多",
豪景大酒店Hotel Riverview Taipei,longy60,"只想住一晚,不計較服務的可以試試",3,,2017年1月,"可以停車,但是為代客泊車,且是路邊或騎樓,愛車的人可能要三思,蓮蓬頭水很小,床單上有小屑屑,室內空間乾淨舒適",
豪景大酒店Hotel Riverview Taipei,Wongtsui,新館設施較新,4,,2017年1月,"酒店不近捷運站走路到西門站大約15分鐘，如到西門町旺區走路約8分鐘，豪景酒店分新館和舊館兩座，新館裝修較新及舒適房間空間足夠，有日式座厠，附近也有食店便利店按摩店，服裝也算ok, 比起西門町很多酒店的房間衹有十幾坪方，這間酒店的房間確實太很多，值得推薦。",
豪景大酒店Hotel Riverview Taipei,Chung1984,除左位置無得輸,4,香港,2016年2月,新館跟舊館是用同一個登記櫃檯的，但酒店是在舊館後面進入，外觀看來真的有比較新。兩人房間有兩張單人床，衛浴間很大很乾淨，只是淋浴露跟洗髮精用起來比較乾。這間房設有一個大陽台，晚上可以坐在外面乘涼，蠻舒服的。唯一美中不足是酒店的位置在西門町的後面，晚上有點黑，很怕中途有人突然跑出來，除了這個，酒店我是蠻推薦的。,
豪景大酒店Hotel Riverview Taipei,一位來自中國的 TripAdvisor 會員,位置好,4,,,新館的設施明顯比舊館來的好。預訂的河景房，但是旁邊就是立交橋，我只看見立交橋。。。以為前台搞錯了預訂被告知這一面就是河景房。新館風格偏向日系整潔乾淨，早餐在舊館，選擇性相對較少。,
豪景大酒店Hotel Riverview Taipei,Gigi123445,很漂亮,4,,2016年8月,櫃檯人員有禮貌，新館10分漂亮，房間整潔舒適，可惜早餐強差人意，餐廳員工也不專業也沒有禮貌，絕對需要在培訓。,
豪景大酒店Hotel Riverview Taipei,Improving_everyday,很棒的酒店,5,香港,,最初我選擇這家酒店是因為我聽說他們的員工英語很好。然而，這家酒店出色的地方不僅僅於此。這裏的員工十分的友善，非常樂於助人，總是表現的很熱情。我的房間朱起來很舒適，非常的乾淨、現代化，酒店的地理位置也很完美。唯一需要提高的地方就是西式早餐不是很好吃。總的來說，我住的很滿意。,
豪景大酒店Hotel Riverview Taipei,xDejaVu,出色的酒店,5,新加坡新加坡,,服務一流，房間裝修精美！雖然步行到地鐵需要10分鐘，但是他們每30分鐘會提供短駁巴士。酒店的員工彬彬有禮，非常友善。我要向所有想住在Ximending附近的人推薦這家酒店。,
豪景大酒店Hotel Riverview Taipei,35karanm,漂亮的房間，但僅此而已,1,,,我們在新大樓里的這家旅館住了一晚上。這裏相當昂貴。總的來說，房間很好，很舒服。然而，在我看來，這裏的位置對於第一次拜訪這個城市的人並不理想。我不能責怪那家旅館……我想我應該更好地研究。酒店的附近不是很令人印象深刻。餐廳的服務是驚人的，早餐令人傷心（早餐是香腸卷！！！）接待人員會忽略你的存在，除非你是日本人。不願再呆在這裏。,
豪景大酒店Hotel Riverview Taipei,Sunshine0202,不錯的酒店 就是離地鐵不近,3,菲律賓達沃,,務必要住在新側翼那邊。我們的房間雖然有點小，但是很新很不錯。浴室寬敞整潔現代化。既有浴缸也有淋雨區域，而且馬桶是日式的現代化馬桶。這裏的早餐和餐廳還需要改進，但也不算太差。最近的地鐵站（西門站）走路要大約15分鐘，不過酒店提供擺渡車。員工尤其是門童非常熱情友好。如果不是離地鐵有點遠的話，下次我還會住這兒。,
豪景大酒店Hotel Riverview Taipei,joeve23,很棒的體驗！,4,新加坡新加坡,,我們在新側樓定了一個房間，然後驚訝地發現入口和我們預定時不一樣！哈哈，要注意圖片展示的是新側樓，而接待處則在現在的樓里。入住很快！員工很好，看門人更友好和樂於助人！房間太棒了！我們訂的是有三張床的三人間，在這兒住了兩個晚上。浴室太好了！不但有浴缸還有淋浴！洗漱用品氣味很好，用起來也很好用。對食物無法評價，因為我們訂的是不含早餐的...更多,
豪景大酒店Hotel Riverview Taipei,KimQ40,台北最棒的精品酒店,5,,,豪景大酒店的新館，豪景大酒店新館絕對的美麗！位置超贊，離西門町購物區只有8分鐘的步程。相信我，儘管有去購物的強烈衝動，但你絕對會期待回到漂亮的房間。擁有城市景觀的套房給你周圍建築的風景（大部分建築非常的老舊、破牌），所以預訂擁有河景的套房非常重要。服務是頂級水平，超出這座城市的4星級或者5星級酒店。下次再來台北，絕對會再次光臨這...更多,
豪景大酒店Hotel Riverview Taipei,一位來自中國的 TripAdvisor 會員,性价比不错的酒店,4,,,"来台北住的豪景的新馆，设施上比旧馆看上去好很多。新馆楼下有专人值班，感觉私密性不错。

房间比较宽敞，唯一的不足就是空调声音确实有点点响，带耳塞会比较好。

位置虽说在西门町，但是走到捷运需要8-10分钟，比较尴尬的一个距离。好在酒店提供西门捷运的往返接送，提前半个小时预约即可，对于带着大件行李的客人来说，还是很方便的。

酒店...更多",
豪景大酒店Hotel Riverview Taipei,經理 董,服務很好，房間乾淨，有接駁車很方便,5,,2015年6月,全新的飯店，房間寬敞，浴室很棒，服務人員會主動問候，親切有禮，還有接駁服務送到捷運站，很貼心，離西門町商圈很近，很方便，下次會再光臨!,
豪景大酒店Hotel Riverview Taipei,aasurjanegara,舒適，體面的地方和物超所值,4,澳洲墨爾本,2018年11月,酒店有兩棟建築，主樓（你會看到的第一棟）似乎過時，而我們住的那棟現代而舒適。我們期待更好的客戶服務和設施（例如健身房），但是對於我們支付的價格，我們不能抱怨。位置不是最好的，但步行5-10分鐘，我們就在西門町的中心。總的來說，如果你不挑剔客戶服務或健身房等設施，而且你以實惠的價格享受舒適，那麼這個地方可能就是這樣。我們也非常感謝每天早上留下的留言，讓我們知道房間是由早晨的特定清潔工親自清理過的。我們認為這是一個很好的個人風格，否則一個被忽視的部分住宿,
台北凱撒大飯店Caesar Park Taipei,Kia6577,台北凱撒大飯店,5,,,酒店的位置超級贊！，就在台北站，位於城市的中心。客戶服務也很棒，非常禮貌的在酒店入口處迎接客人，提供各種讓人愉悅的服務。酒店的設施也非常好，乾淨，看起來很棒！更多,"Dear Guest, 
Greeting from CAESAR PARK TAIPEI! 
Thank you for taking time out of your busy schedule to write to...更多"
